,TURN,APEX_X1,APEX_Y1,CORNER_X1,CORNER_Y1,CORNER_X2,CORNER_Y2
0,1,375.57,191.519,315,145,405,260
1,2,368.93,90.0,350,0,402,145
2,3,727.5,-393.43893,702,-443,750,-295
3,4,601.0,-455.0,565,-535,645,-400
4,5,599.03037,-643.97,535,-725,640,-580
5,6,235.931194,-862.33,200,-912,290,-812
6,7,159.135352,-832.11,105,-882,199,-782
7,8,-65.0,-710.0,-115,-810,-15,-600
8,9,-271.02352941,232.6247,-325,182,-220,282
9,10,-390.78254,231.14236,-430,181,-330,281
10,11,-731.76018,805.659814,-770,730,-705,855
11,12,-468.9442,851.95,-530,801,-400,901
12,13,-344.668,683.02,-420,643,-310,740
13,14,-240.0,759.0,-285,685,-178,830
